ticker,company_name,ipo_date,offer_price,first_day_close,offer_size_tl,oversubscription_ratio,sector,method,notes,ipo_year,ipo_month,ipo_close,price_d1,price_d5,price_d10,price_d30,price_d60,price_d90,price_d180,price_d365,benchmark_ipo,benchmark_d1,benchmark_d5,benchmark_d10,benchmark_d30,benchmark_d60,benchmark_d90,benchmark_d180,benchmark_d365,_cached_at,first_day_bhar,return_d1,benchmark_return_d1,excess_return_d1,bhar_d1,return_d5,benchmark_return_d5,excess_return_d5,bhar_d5,return_d10,benchmark_return_d10,excess_return_d10,bhar_d10,return_d30,benchmark_return_d30,excess_return_d30,bhar_d30,return_d60,benchmark_return_d60,excess_return_d60,bhar_d60,return_d90,benchmark_return_d90,excess_return_d90,bhar_d90,return_d180,benchmark_return_d180,excess_return_d180,bhar_d180,return_d365,benchmark_return_d365,excess_return_d365,bhar_d365,tavan_days,tavan_days_close_to_close,tavan_series_return,actual_compound_from_closes,first_free_day,first_free_close,hit_tavan_day1,ipo_close_yahoo,last_tavan_close_yahoo,total_tavan_days,underpricing,first_day_return
ARDYZ.IS,Ard Grup Bilisim Teknolojileri A.S.,2020-02-06,5.5,5.5,,,,,,2020,2,0.8880221843719482,1.0653482675552368,1.533096432685852,2.2088871002197266,2.0985817909240723,2.0092215538024902,4.241845607757568,3.8955719470977774,8.286237716674805,1222.83251953125,1210.14453125,1197.9716796875,1207.91259765625,1035.2344970703125,920.7061157226562,985.7097778320312,1087.1942138671875,1527.19189453125,2026-03-13T08:17:41.163262,0.0999999999999999,0.1996865464669692,-0.0103759002795523,0.2100624467465216,0.2122648860368909,0.726416816681366,-0.0203305354140237,0.7467473520953898,0.7622441844821375,1.487423331413682,-0.0122011163725996,1.4996244477862817,1.5181475426246207,1.3632087439440377,-0.153412686908956,1.5166214308529935,1.7914530579433483,1.2625803602232164,-0.2470709594183905,1.5096513196416068,2.005037976056094,3.776733827609954,-0.1939126887058215,3.970646516315776,4.925826843671409,3.3867957531409107,-0.110921408694673,3.497717161835584,3.934092211916055,8.331115666367308,0.2488970240312797,8.082218642336029,6.47148522801957,0.0,0.0,0.0,0.0,2020-02-07,1.0653482675552368,False,0.8880221843719482,0.8880221843719482,0.0,0.0,0.0
BAYRK.IS,Bayrak Ebt Taban San. ve Tic. A.S.,2020-06-04,3.28,3.608,,,,,,2020,6,0.4065490067005157,0.4472039937973022,0.5398070216178894,0.78712397813797,0.845848023891449,0.7295299768447876,0.7611500024795532,1.0671919584274292,1.3890429735183716,1095.3631591796875,1100.212158203125,1092.3592529296875,1095.55419921875,1184.8458251953125,1087.1942138671875,1083.894287109375,1325.29296875,1432.8924560546875,2026-03-13T08:17:41.890363,0.100609756097561,0.1000002125862651,0.0044268414386594,0.0955733711476056,0.0951521476772903,0.3277784786608475,-0.0027423838613027,0.3305208625221503,0.3314297701750335,0.9361109366030372,0.0001744079463157,0.9359365286567216,0.9357733223533528,1.0805561198051157,0.0816922362832051,0.9988638835219106,0.9234270617991116,0.7944453554702591,-0.0074577506501293,0.8019031061203884,0.807928434931255,0.8722220198172919,-0.0104703832461386,0.8826924030634306,0.892032323356921,1.6250020067410371,0.2099119434895966,1.4150900632514407,1.1695810351041538,2.4166679800588224,0.3081437366651751,2.1085242433936475,1.611844466548352,11.0,10.0,1.829446100621772,1.5722237278379745,2020-06-19,0.9418389797210692,True,0.4065490067005157,1.045735001564026,11.0,1.829446100621772,0.1
FADE.IS,Fade Gida Yatirim San. ve Tic. A.S.,2020-08-06,2.4,2.64,,,,,,2020,8,2.218487024307251,2.436974048614502,2.941175937652588,4.294116973876953,4.865546226501465,5.16806697845459,4.924368858337402,7.840335845947266,12.199999809265137,1034.39453125,1060.5943603515625,1110.0941162109375,1086.1942138671875,1096.794189453125,1160.69384765625,1167.6937255859375,1511.3919677734375,1434.79248046875,2026-03-13T08:17:42.622081,0.1,0.0984846978654185,0.0253286616566907,0.0731560362087277,0.0713488649488494,0.3257575570319169,0.0731825069390683,0.2525750500928485,0.2353514415858708,0.935606080552958,0.0500772974452898,0.8855287831076681,0.8432986650240433,1.1931821882171203,0.0603248144861312,1.132857373730989,1.0684059811238216,1.3295457317666215,0.122099752648175,1.2074459791184464,1.0760593933550495,1.2196969395730837,0.1288668784577331,1.0908300611153503,0.9663053119298276,2.5340913694978693,0.4611368507014595,2.0729545187964096,1.418727149206613,4.499243257045748,0.3870843639659371,4.112158893079811,2.964606191163722,10.0,9.0,1.5708333436324464,1.337121221484042,2020-08-20,4.672267913818359,True,2.218487024307251,5.184873104095459,10.0,1.5708333436324464,0.1
DNISI.IS,Dinamik Isi Yalitim Malzemeleri San. ve Tic. A.S.,2020-09-04,3.52,3.872,,,,,,2020,9,0.9473936557769777,1.0410183668136597,1.2572472095489502,1.6718709468841553,2.139995574951172,2.240307807922364,2.275973558425904,3.867595911026001,2.698091983795166,1086.2943115234375,1096.794189453125,1099.694091796875,1107.294189453125,1160.69384765625,1150.69384765625,1330.8929443359375,1531.091796875,1474.692138671875,2026-03-13T08:17:43.371868,0.0994318181818182,0.0988234515460191,0.0096657764091228,0.0891576751368963,0.0883041469960344,0.3270589283372971,0.0123353129361833,0.3147236154011137,0.3108887059252012,0.7647056603023359,0.0193316651913943,0.7453739951109415,0.7312379479263862,1.2588240504905177,0.0684892992107022,1.1903347512798157,1.114035257217008,1.3647063649429234,0.0592836908466338,1.3054226740962895,1.2323636107839335,1.4023525432617872,0.2251679220058426,1.1771846212559445,0.9608353272330704,3.08235361028896,0.4094631451468902,2.67289046514207,1.896389043122876,1.8479101240997895,0.3575438286183621,1.4903662954814276,1.097840278938357,7.0,6.0,0.94117622633257,0.7647056603023363,2020-09-15,1.6629550457000732,True,0.9473936557769777,1.6718709468841553,7.0,0.94117622633257,0.1
ESEN.IS,Esenboga Elektrik Uretim A.S.,2020-10-09,8.5,9.35,,,,,,2020,10,0.3267643749713897,0.3592658042907715,0.4344038069248199,0.5776910781860352,0.6465390920639038,0.6479374766349792,0.6615669131278992,1.328026533126831,0.9997137188911438,1165.6937255859375,1178.393798828125,1189.293701171875,1205.3936767578125,1231.493408203125,1339.8929443359375,1522.19189453125,1417.8924560546875,1416.29248046875,2026-03-13T08:17:44.123607,0.0999999999999999,0.0994644208758297,0.0108948628301175,0.0885695580457122,0.0876150045888564,0.3294099363275287,0.0202454341718918,0.3091645021556368,0.3030295376000169,0.7679132807443152,0.0340569313366765,0.7338563494076387,0.7096866015481538,0.9786094861794908,0.0564468017395505,0.9221626844399402,0.8728907910190107,0.9828889752492458,0.1494382400166378,0.8334507352326079,0.7250939687029587,1.0245992641817931,0.3058249016190923,0.7187743625627008,0.5504370162274379,3.064171723870168,0.2163507660144452,2.847820957855723,2.341282660746812,2.0594330210527847,0.2149782137300677,1.844454807322717,1.5180970213944105,9.0,8.0,1.3517660667580973,1.13796915159827,2020-10-22,0.7094459533691406,True,0.3267643749713897,0.6986121535301208,9.0,1.3517660667580973,0.1
KONTR.IS,Kontrolmatik Teknoloji Enerji ve Muhendislik A.S.,2020-10-19,6.9,7.590000000000001,,,,,,2020,10,0.41646608710289,0.4576186835765838,0.6683204770088196,0.8883510828018188,0.9366368055343628,0.9827280044555664,1.8469356298446653,3.3745272159576416,3.5402145385742188,1205.3936767578125,1210.3935546875,1144.493896484375,1112.3941650390625,1294.693115234375,1408.2926025390625,1556.791748046875,1377.192626953125,1429.8924560546875,2026-03-13T08:17:44.870838,0.0999999999999999,0.0988137996060334,0.0041479211531421,0.0946658784528913,0.0942748338752512,0.6047416529348948,-0.0505227308286879,0.6552643837635828,0.6901317230432347,1.1330694390545832,-0.0771528119915925,1.2102222510461758,1.311400486203952,1.2490109868248696,0.0740832146363619,1.1749277721885076,1.0938889614677456,1.3596831408094427,0.1683258587576086,1.191357282051834,1.0197131845722538,3.434780374778441,0.2915214158367161,3.143258958941725,2.433764489228663,7.102765916505341,0.1425251795391908,6.96024073696615,6.091980169551616,7.5006070078872735,0.1862451941018281,7.314361813785445,6.165978037385056,9.0,8.0,1.34637656134151,1.1330696012195545,2020-11-02,0.8027533292770386,True,0.4164660274982452,0.8883510231971741,9.0,1.34637656134151,0.1
KRVGD.IS,Kervan Gida San. ve Tic. A.S.,2020-12-04,9.0,9.9,,,,,,2020,12,1.0328657627105713,1.1361521482467651,1.3729808330535889,1.6494545936584473,1.3948899507522583,1.700576663017273,1.939491629600525,1.6504976749420166,1.3696285486221311,1330.8929443359375,1329.8929443359375,1350.2928466796875,1388.5926513671875,1495.39208984375,1511.3919677734375,1537.9918212890625,1430.6923828125,1927.3897705078125,2026-03-13T08:17:45.624347,0.1,0.0999998153343153,-0.0007513752358939,0.1007511905702093,0.1008269494431315,0.3292926173198407,0.0145766061998546,0.314716011119986,0.3101944290818708,0.5969689897840635,0.043354130981617,0.5536148588024465,0.5306106933046693,0.3505045874418562,0.1236005842602847,0.2269040031815714,0.2019436500479858,0.6464643561757861,0.135622496313978,0.5108418598618081,0.4498342200158123,0.8777770545038459,0.1556089675240251,0.7221680869798208,0.6249242670097288,0.5979788802473043,0.0749868266274103,0.522992053619894,0.48651019776744,0.3260470024950639,0.4481929434748812,-0.1221459409798173,-0.0843436929658923,6.0,5.0,0.7677768421383089,0.6070698564893715,2020-12-14,1.6494545936584473,True,1.0328657627105713,1.659887433052063,6.0,0.7677768421383089,0.1
ARZUM.IS,Arzum Elektrikli Ev Aletleri San. ve Tic. A.S.,2020-12-24,17.0,18.700000000000003,,,,,,2020,12,1.931653380393982,2.123785734176636,2.5679633617401123,2.3200502395629883,2.404754400253296,2.5452377796173096,2.3035223484039307,1.9349019527435305,1.6590843200683594,1425.992431640625,1439.2923583984375,1459.6922607421875,1495.39208984375,1540.1917724609375,1550.591796875,1413.892578125,1409.892578125,1891.2900390625,2026-03-13T08:17:46.375457,0.0999999999999999,0.0994652331172722,0.0093267863578425,0.0901384467594297,0.0893055133161524,0.3294120921509986,0.0236325441522788,0.3057795479987197,0.2987200336151396,0.2010696448499411,0.0486676202925422,0.1524020245573989,0.1453291983163207,0.2449202453510679,0.080084114253625,0.1648361310974428,0.1526141611770211,0.3176472577591434,0.0873772977118971,0.2302699600472462,0.2117663855331442,0.192513300669969,-0.0084852158027963,0.2009985164727654,0.2027186277766974,0.0016817573911143,-0.0112902797787656,0.0129720371698799,0.0131201675320611,-0.141106610063773,0.3262973891709533,-0.4674039992347263,-0.3524126663077372,5.0,4.0,0.608235371731578,0.4620321561196163,2020-12-31,2.5431721210479736,True,1.931653380393982,2.824139356613159,5.0,0.608235371731578,0.1
ISKPL.IS,Isik Plastik Sanayi ve Dis Ticaret A.S.,2021-01-28,16.1,17.710000000000004,,,,,,2021,1,0.6034934520721436,0.6638086438179016,0.8028404116630554,1.0918089151382446,1.2540128231048584,1.5273054838180542,0.9829428195953368,1.1937198638916016,0.6392351388931274,1498.2921142578125,1473.4921875,1511.3919677734375,1534.891845703125,1527.491943359375,1392.592529296875,1385.8927001953125,1359.5927734375,1983.189453125,2026-03-13T08:17:47.122803,0.0999999999999999,0.0999434070720419,-0.0165521306037823,0.1164955376758243,0.1184562408451259,0.3303216611653994,0.0087431905907842,0.3215784705746152,0.3187912181952657,0.8091479060616655,0.0244276340354647,0.7847202720262008,0.766008496798354,1.0779228321353016,0.0194887424312626,1.058434089704039,1.0382008605410395,1.5307739107589775,-0.0705467137917204,1.601320624550698,1.72286294353029,0.6287547382996836,-0.0750183578975703,0.703773096197254,0.7608508798051588,0.978016264787742,-0.0925716283897135,1.0705878931774555,1.1798042982474009,0.0592246472571689,0.3236333784666445,-0.2644087312094756,-0.1997597941476652,7.0,6.0,0.945342787216517,0.7684934429241062,2021-02-08,1.0918090343475342,True,0.6034934520721436,1.0672742128372192,7.0,0.945342787216517,0.1
TRILC.IS,Turk Ilac ve Serum Sanayi A.S.,2021-03-05,10.0,11.0,,,,,,2021,3,5.238094806671143,5.238094806671143,5.761903762817383,7.666666030883789,29.0,19.69523811340332,18.895238876342773,15.079999923706056,8.489999771118164,1527.491943359375,1528.7919921875,1530.2918701171875,1556.49169921875,1391.692626953125,1397.7926025390625,1420.492431640625,1472.0921630859375,1969.8895263671875,2026-03-13T08:17:47.874844,0.1,0.0,0.0008511002848667,-0.0008511002848667,-0.0008503765291605,0.0999998998641884,0.001833022275492,0.0981668775886963,0.0979872647496955,0.4636363628087949,0.0189852103544301,0.4446511524543648,0.4363666400022659,4.536364092353985,-0.0889034583760814,4.625267550730066,5.076594344750877,2.760000313151992,-0.0849099999408625,2.844910313092855,3.108885806761087,2.6072731734977648,-0.0700491496429295,2.6773223231406944,2.8789933598240065,1.8789093134588637,-0.0362684598856856,1.9151777733445488,1.987252355689612,0.6208182716176605,0.2896235131917348,0.3311947584259256,0.2568150743516144,21.0,20.0,6.300000791983236,5.636364356348396,2021-04-05,31.28571319580078,True,5.238094806671143,34.761905670166016,21.0,6.300000791983236,0.1
