date,tufe_index,tufe_yoy,tufe_mom
2019-01-01,398.23,20.35,1.06
2019-02-01,398.87,19.67,0.16
2019-03-01,402.98,19.71,1.03
2019-04-01,409.79,19.5,1.69
2019-05-01,413.68,18.71,0.95
2019-06-01,413.8,15.72,0.03
2019-07-01,419.43,16.65,1.36
2019-08-01,423.04,15.01,0.86
2019-09-01,427.23,9.26,0.99
2019-10-01,435.77,8.55,2.0
2019-11-01,437.43,10.56,0.38
2019-12-01,440.66,11.84,0.74
2020-01-01,446.61,12.15,1.35
2020-02-01,448.17,12.37,0.35
2020-03-01,450.73,11.86,0.57
2020-04-01,454.56,10.94,0.85
2020-05-01,460.74,11.39,1.36
2020-06-01,465.95,12.62,1.13
2020-07-01,468.65,11.76,0.58
2020-08-01,472.68,11.77,0.86
2020-09-01,477.27,11.75,0.97
2020-10-01,487.43,11.89,2.13
2020-11-01,498.64,14.03,2.3
2020-12-01,504.88,14.6,1.25
2021-01-01,513.36,14.97,1.68
2021-02-01,518.03,15.61,0.91
2021-03-01,523.62,16.19,1.08
2021-04-01,532.42,17.14,1.68
2021-05-01,537.16,16.59,0.89
2021-06-01,547.58,17.53,1.94
2021-07-01,557.44,18.95,1.8
2021-08-01,563.68,19.25,1.12
2021-09-01,570.73,19.58,1.25
2021-10-01,584.37,19.89,2.39
2021-11-01,604.88,21.31,3.51
2021-12-01,687.02,36.08,13.58
2022-01-01,763.28,48.69,11.1
2022-02-01,799.99,54.44,4.81
2022-03-01,843.67,61.14,5.46
2022-04-01,904.84,69.97,7.25
2022-05-01,931.8,73.5,2.98
2022-06-01,977.93,78.62,4.95
2022-07-01,1001.11,79.6,2.37
2022-08-01,1015.72,80.21,1.46
2022-09-01,1047.01,83.45,3.08
2022-10-01,1084.07,85.51,3.54
2022-11-01,1115.29,84.39,2.88
2022-12-01,1128.45,64.27,1.18
2023-01-01,1203.49,57.68,6.65
2023-02-01,1241.4,55.18,3.15
2023-03-01,1269.83,50.51,2.29
2023-04-01,1300.18,43.68,2.39
2023-05-01,1300.7,39.59,0.04
2023-06-01,1351.69,38.21,3.92
2023-07-01,1479.96,47.83,9.49
2023-08-01,1614.49,58.94,9.09
2023-09-01,1691.18,61.53,4.75
2023-10-01,1749.19,61.36,3.43
2023-11-01,1806.56,61.98,3.28
2023-12-01,1859.49,64.77,2.93
2024-01-01,1984.08,64.86,6.7
2024-02-01,2073.96,67.07,4.53
2024-03-01,2139.5,68.5,3.16
2024-04-01,2207.53,69.8,3.18
2024-05-01,2281.93,75.45,3.37
2024-06-01,2319.35,71.6,1.64
2024-07-01,2394.27,61.78,3.23
2024-08-01,2453.4,51.97,2.47
2024-09-01,2526.27,49.38,2.97
2024-10-01,2599.03,48.58,2.88
2024-11-01,2657.24,47.09,2.24
2024-12-01,2684.61,44.38,1.03
2025-01-01,2819.65,42.12,5.03
2025-02-01,2883.66,39.05,2.27
2025-03-01,2954.59,38.1,2.46
2025-04-01,3043.23,37.86,3.0
2025-05-01,3089.79,35.41,1.53
2025-06-01,3132.12,35.05,1.37
2025-07-01,3196.65,33.52,2.06
2025-08-01,3261.86,32.95,2.04
2025-09-01,3367.21,33.29,3.23
2025-10-01,3453.08,32.87,2.55
2025-11-01,3483.12,31.07,0.87
2025-12-01,3514.12,30.89,0.89
